LOD0 (Path: /_IslandHolder/Tree02/LOD0) Components: Transform, MeshFilter, MeshRenderer
LOD1 (Path: /_IslandHolder/Flower01/LOD1) Components: Transform, MeshFilter, MeshRenderer
LOD0 (Path: /_IslandHolder/Tree02/LOD0) Components: Transform, MeshFilter, MeshRenderer
RockCliff05 (Path: /_IslandHolder/RockCliff05) Components: Transform, LODGroup, MeshCollider
LOD1 (Path: /_IslandHolder/Stair01/LOD1) Components: Transform, MeshFilter, MeshRenderer
LOD0 (Path: /_IslandHolder/RoadA01/LOD0) Components: Transform, MeshFilter, MeshRenderer
LOD1 (Path: /_IslandHolder/Tree02/LOD1) Components: Transform, MeshFilter, MeshRenderer
LOD1 (Path: /_IslandHolder/Stair01/LOD1) Components: Transform, MeshFilter, MeshRenderer
LOD1 (Path: /_IslandHolder/Tree02/LOD1) Components: Transform, MeshFilter, MeshRenderer
LOD1 (Path: /_IslandHolder/RockCliff05/LOD1) Components: Transform, MeshFilter, MeshRenderer
LOD1 (Path: /_IslandHolder/Flower01/LOD1) Components: Transform, MeshFilter, MeshRenderer
LOD0 (Path: /_IslandHolder/Flower01/LOD0) Components: Transform, MeshFilter, MeshRenderer
Tree02 (Path: /_IslandHolder/Tree02) Components: Transform, LODGroup, BoxCollider
LOD0 (Path: /_IslandHolder/RockCliff05/LOD0) Components: Transform, MeshFilter, MeshRenderer
LOD0 (Path: /_IslandHolder/Tree02/LOD0) Components: Transform, MeshFilter, MeshRenderer
LOD0 (Path: /_IslandHolder/Flower01/LOD0) Components: Transform, MeshFilter, MeshRenderer
LOD1 (Path: /_IslandHolder/Flower01/LOD1) Components: Transform, MeshFilter, MeshRenderer
LOD0 (Path: /_IslandHolder/Tree02/LOD0) Components: Transform, MeshFilter, MeshRenderer
LOD1 (Path: /_IslandHolder/RoadA01/LOD1) Components: Transform, MeshFilter, MeshRenderer
Tree02 (Path: /_IslandHolder/Tree02) Components: Transform, LODGroup, BoxCollider
LOD0 (Path: /_IslandHolder/Gate03/LOD0) Components: Transform, MeshFilter, MeshRenderer
RockCliff05 (Path: /_IslandHolder/RockCliff05) Components: Transform, LODGroup, MeshCollider
LOD1 (Path: /_IslandHolder/Tree02/LOD1) Components: Transform, MeshFilter, MeshRenderer
LOD0 (Path: /_IslandHolder/Grass01/LOD0) Components: Transform, MeshFilter, MeshRenderer
